ZIP,TERMINAL,SERVICEOUTBOUND,DAYSOUTBOUND,SERVICEINBOUND,DAYSINBOUND
2553,MA001,D,3,D,3
2554,MA001,D,8,D,8
2556,MA001,D,3,D,3
2557,MA001,D,8,D,8
2558,MA001,D,3,D,3
2559,MA001,D,3,D,3
2561,MA001,D,3,D,3
2562,MA001,D,3,D,3
2563,MA001,D,3,D,3
2564,MA001,D,8,D,8
2568,MA001,D,8,D,8
2571,MA001,D,3,D,3
2574,MA001,D,3,D,3
2575,MA001,D,8,D,8
2576,MA001,D,3,D,3
2584,MA001,D,8,D,8
2601,MA001,D,4,D,4
2630,MA001,D,4,D,4
2631,MA001,D,4,D,4
2632,MA001,D,4,D,4
2633,MA001,D,4,D,4
2634,MA001,D,4,D,4
2635,MA001,D,4,D,4
2637,MA001,D,4,D,4
2638,MA001,D,4,D,4
2639,MA001,D,4,D,4
2641,MA001,D,4,D,4
2642,MA001,D,4,D,4
2643,MA001,D,4,D,4
2644,MA001,D,3,D,3
2645,MA001,D,4,D,4
2646,MA001,D,4,D,4
2647,MA001,D,4,D,4
2648,MA001,D,4,D,4
2649,MA001,D,4,D,4
2650,MA001,D,4,D,4
2651,MA001,D,4,D,4
2652,MA001,D,4,D,4
2653,MA001,D,4,D,4
2655,MA001,D,4,D,4
2657,MA001,D,4,D,4
2659,MA001,D,4,D,4
2660,MA001,D,4,D,4
2661,MA001,D,4,D,4
2662,MA001,D,4,D,4
2663,MA001,D,4,D,4
2664,MA001,D,4,D,4
2666,MA001,D,4,D,4
2667,MA001,D,4,D,4
2668,MA001,D,4,D,4
2669,MA001,D,4,D,4
2670,MA001,D,4,D,4
2671,MA001,D,4,D,4
2672,MA001,D,4,D,4
2673,MA001,D,4,D,4
2675,MA001,D,4,D,4
2702,MA001,D,3,D,3
2703,MA001,D,3,D,3
2712,MA001,D,3,D,3
2713,MA001,D,3,D,3
2714,MA001,D,3,D,3
2715,MA001,D,3,D,3
2717,MA001,D,3,D,3
2718,MA001,D,3,D,3
2719,MA001,D,3,D,3
2720,MA001,D,3,D,3
2721,MA001,D,3,D,3
2722,MA001,D,3,D,3
2723,MA001,D,3,D,3
2724,MA001,D,3,D,3
2725,MA001,D,3,D,3
2726,MA001,D,3,D,3
2738,MA001,D,3,D,3
2739,MA001,D,3,D,3
2740,MA001,D,3,D,3
2741,MA001,D,8,D,8
2742,MA001,D,8,D,8
2743,MA001,D,3,D,3
2744,MA001,D,3,D,3
2745,MA001,D,3,D,3
2746,MA001,D,3,D,3
2747,MA001,D,3,D,3
2748,MA001,D,3,D,3
2760,MA001,D,3,D,3
2761,MA001,D,8,D,8
2762,MA001,D,3,D,3
2763,MA001,D,3,D,3
2764,MA001,D,3,D,3
2766,MA001,D,3,D,3
2767,MA001,D,3,D,3
2768,MA001,D,3,D,3
2769,MA001,D,3,D,3
2770,MA001,D,3,D,3
2771,MA001,D,3,D,3
