LOWZIP,HIGHZIP,TERMINAL,SERV_IN,SERV_OUT,DAYS_IN,DAYS_OUT
33809,33823,FL003,D,3,3,D
33825,33827,FL003,D,4,4,D
33830,33830,FL003,D,3,3,D
33831,33831,FL003,D,8,8,D
33834,33834,FL003,D,4,4,D
33835,33835,FL003,D,3,3,D
33836,33836,FL003,D,4,4,D
33837,33837,FL001,D,3,3,D
33838,33838,FL003,D,4,4,D
33839,33841,FL003,D,3,3,D
33843,33843,FL003,D,4,4,D
33844,33845,FL001,D,3,3,D
33846,33847,FL003,D,3,3,D
33848,33848,FL001,D,3,3,D
33849,33850,FL003,D,3,3,D
33851,33857,FL003,D,4,4,D
33858,33858,FL001,D,3,3,D
33859,33859,FL003,D,4,4,D
33860,33860,FL003,D,3,3,D
33862,33862,FL003,D,8,8,D
33863,33863,FL003,D,3,3,D
33865,33867,FL003,D,4,4,D
33868,33868,FL001,D,3,3,D
33870,33870,FL003,D,4,4,D
33871,33871,FL003,D,8,8,D
33872,33877,FL003,D,4,4,D
33880,33881,FL003,D,3,3,D
33882,33883,FL003,D,8,8,D
33884,33884,FL003,D,4,4,D
33885,33885,FL003,D,3,3,D
33888,33888,FL001,D,3,3,D
33890,33890,FL003,D,4,4,D
33896,33897,FL001,D,3,3,D
33898,33901,FL003,D,4,4,D
33902,33902,FL003,D,8,8,D
33903,33905,FL003,D,4,4,D
33906,33906,FL003,D,8,8,D
33907,33909,FL003,D,4,4,D
33910,33910,FL003,D,8,8,D
33911,33914,FL003,D,4,4,D
33915,33915,FL003,D,8,8,D
33916,33917,FL003,D,4,4,D
33918,33918,FL003,D,8,8,D
33919,33928,FL003,D,4,4,D
33929,33929,FL003,D,8,8,D
33930,33930,FL004,D,4,4,D
33931,33931,FL003,D,4,4,D
33932,33932,FL003,D,8,8,D
33935,33945,FL003,D,4,4,D
33946,33946,FL003,D,8,8,D
33947,33948,FL003,D,4,4,D
33949,33949,FL003,D,8,8,D
33950,33950,FL003,D,4,4,D
33951,33951,FL003,D,8,8,D
33952,33967,FL003,D,4,4,D
33970,33970,FL003,D,8,8,D
33971,33974,FL003,D,4,4,D
33975,33975,FL003,D,8,8,D
33976,33993,FL003,D,4,4,D
33994,34109,FL003,D,8,8,D
34110,34110,FL003,D,4,4,D
34112,34133,FL003,D,8,8,D
34134,34135,FL003,D,4,4,D
34136,34136,FL003,D,8,8,D
34137,34139,FL004,D,4,4,D
34140,34140,FL003,D,8,8,D
34141,34142,FL004,D,4,4,D
34143,34146,FL003,D,8,8,D
34201,34203,FL003,D,3,3,D
34204,34204,FL003,D,8,8,D
34205,34215,FL003,D,3,3,D
34216,34216,FL003,D,4,4,D
34217,34217,FL003,D,3,3,D
34218,34218,FL003,D,8,8,D
34219,34222,FL003,D,3,3,D
34223,34233,FL003,D,4,4,D
34234,34235,FL003,D,3,3,D
34236,34242,FL003,D,4,4,D
34243,34243,FL003,D,3,3,D
34249,34249,FL003,D,4,4,D
